jhammond@nid02818:/global/u1/j/jhammond/BigMPI/test/perf> for m in {1..20} ; do aprun -n 8 -N 1 ./reductions $((m*1024*1024)) ; done
n = 1048576 tmpi = 0.005206 dtusr = 0.008341
n = 2097152 tmpi = 0.009673 dtusr = 0.018828
n = 3145728 tmpi = 0.017400 dtusr = 0.030778
n = 4194304 tmpi = 0.031667 dtusr = 0.061613
n = 5242880 tmpi = 0.040261 dtusr = 0.076230
n = 6291456 tmpi = 0.047423 dtusr = 0.087965
n = 7340032 tmpi = 0.057334 dtusr = 0.102508
n = 8388608 tmpi = 0.059389 dtusr = 0.116431
n = 9437184 tmpi = 0.071200 dtusr = 0.131164
n = 10485760 tmpi = 0.083462 dtusr = 0.149915
n = 11534336 tmpi = 0.088238 dtusr = 0.161610
n = 12582912 tmpi = 0.094171 dtusr = 0.180135
n = 13631488 tmpi = 0.107261 dtusr = 0.196440
n = 14680064 tmpi = 0.110094 dtusr = 0.206092
n = 15728640 tmpi = 0.126692 dtusr = 0.222996
n = 16777216 tmpi = 0.129108 dtusr = 0.235944
n = 17825792 tmpi = 0.134490 dtusr = 0.250463
n = 18874368 tmpi = 0.144575 dtusr = 0.267211
n = 19922944 tmpi = 0.156886 dtusr = 0.280752
n = 20971520 tmpi = 0.162907 dtusr = 0.292251

jhammond@nid02818:/global/u1/j/jhammond/BigMPI/test/perf> for m in {1..20} ; do aprun -n 192 -N 24 ./reductions $((m*1024*1024)) ; done
n = 1048576 tmpi = 0.039893 dtusr = 0.055070
n = 2097152 tmpi = 0.084274 dtusr = 0.116391
n = 3145728 tmpi = 0.128523 dtusr = 0.178993
n = 4194304 tmpi = 0.185485 dtusr = 0.259234
n = 5242880 tmpi = 0.236886 dtusr = 0.327714
n = 6291456 tmpi = 0.282587 dtusr = 0.394828
n = 7340032 tmpi = 0.330362 dtusr = 0.461185
n = 8388608 tmpi = 0.378952 dtusr = 0.527784
n = 9437184 tmpi = 0.425238 dtusr = 0.603628
n = 10485760 tmpi = 0.471749 dtusr = 0.656856
n = 11534336 tmpi = 0.514938 dtusr = 0.729653
n = 12582912 tmpi = 0.566030 dtusr = 0.791056
n = 13631488 tmpi = 0.611027 dtusr = 0.856318
n = 14680064 tmpi = 0.658924 dtusr = 0.917041
n = 15728640 tmpi = 0.717118 dtusr = 1.008655
n = 16777216 tmpi = 0.765448 dtusr = 1.057159
n = 17825792 tmpi = 0.808961 dtusr = 1.116989
n = 18874368 tmpi = 0.854615 dtusr = 1.191685
n = 19922944 tmpi = 0.896668 dtusr = 1.244995
n = 20971520 tmpi = 0.948098 dtusr = 1.303887
